seat_name,state_name,url_for_checking,cand_name,cand_party,cand_party_short,cand_votes,total_votes,cand_vote_share_percent,alliance,cand_position
Kalka,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S071.htm,Shakti Rani Sharma,Bharatiya Janata Party,BJP,55588,135236,41.1,NDA,1
Kalka,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S071.htm,Pardeep Chaudhary,Indian National Congress,INC,45055,135236,33.3,INDIA,2
Kalka,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S071.htm,Gopal Sukhomajri,Independent,Ind.,30903,135236,22.9,OTHERS,3
Kalka,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S071.htm,Charan Singh,Bahujan Samaj Party,BSP,1239,135236,0.9,OTHERS,4
Kalka,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S071.htm,Om Parkash Gujjar,Aam Aadmi Party,AAP,823,135236,0.6,INDIA,5
Kalka,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S071.htm,Nota,None of the Above,NA,711,135236,0.5,OTHERS,6
Kalka,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S071.htm,Amit Sharma,Independent,Ind.,550,135236,0.4,OTHERS,7
Kalka,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S071.htm,Vishal,Independent,Ind.,367,135236,0.3,OTHERS,8
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Gian Chand Gupta,Bharatiya Janata Party,BJP,49181,103224,47.6,NDA,1
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Chander Mohan,Indian National Congress,INC,48215,103224,46.7,INDIA,2
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Prem Garg,Aam Aadmi Party,AAP,3035,103224,2.9,INDIA,3
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Nota,None of the Above,NA,852,103224,0.8,OTHERS,4
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Sushil Garg,Jannayak Janta Party,JJP,758,103224,0.7,OTHERS,5
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Dr Kshitij Choudhary,Indian National Lok Dal,INLD,562,103224,0.5,OTHERS,6
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,M P Sharma,Independent,Ind.,251,103224,0.2,OTHERS,7
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Natasha Sood,Independent,Ind.,151,103224,0.1,OTHERS,8
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Saroj Bala,Independent,Ind.,95,103224,0.1,OTHERS,9
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Kishan Singh Negi,Right to Recall Party,RRP,88,103224,0.1,OTHERS,10
Panchkula,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S072.htm,Bharat Bhushan Gurjar,Bhartiya Veer Dal,BVD,36,103224,0.0,OTHERS,11
Naraingarh,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S073.htm,Shalley Chaudhary,Indian National Congress,INC,61865,140758,44.0,INDIA,1
Naraingarh,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S073.htm,Dr. Pawan Saini,Bharatiya Janata Party,BJP,46932,140758,33.3,NDA,2
Naraingarh,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S073.htm,Harbilas Singh,Bahujan Samaj Party,BSP,27403,140758,19.5,OTHERS,3
Naraingarh,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S073.htm,Gurpal Singh,Aam Aadmi Party,AAP,3244,140758,2.3,INDIA,4
Naraingarh,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S073.htm,Nota,None of the Above,NA,408,140758,0.3,OTHERS,5
Naraingarh,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S073.htm,Neetu,Independent,Ind.,310,140758,0.2,OTHERS,6
Naraingarh,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S073.htm,Seema Devi,Bhartiya Shakti Chetna Party,BSCP,299,140758,0.2,OTHERS,7
Naraingarh,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S073.htm,Dharampal,Independent,Ind.,297,140758,0.2,OTHERS,8
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Anil Vij,Bharatiya Janata Party,BJP,33326,74666,44.6,NDA,1
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Chitra Sarwara,Independent,Ind.,29158,74666,39.1,OTHERS,2
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Parvinder Pal Pari,Indian National Congress,INC,9175,74666,12.3,INDIA,3
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Onkar Singh,Indian National Lok Dal,INLD,1113,74666,1.5,OTHERS,4
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Dharmesh Sood Rinku,Independent,Ind.,570,74666,0.8,OTHERS,5
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Nota,None of the Above,NA,342,74666,0.5,OTHERS,6
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Raj Kaur Gill,Aam Aadmi Party,AAP,315,74666,0.4,INDIA,7
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Avtar Singh,Jannayak Janta Party,JJP,223,74666,0.3,OTHERS,8
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Naveen Kumar,Yuga Thulasi Party,YTP,174,74666,0.2,OTHERS,9
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Naveen Bidla,Independent,Ind.,138,74666,0.2,OTHERS,10
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Jaswinder Golu,Independent,Ind.,72,74666,0.1,OTHERS,11
Ambala Cantt.,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S074.htm,Sunil Verma,Independent,Ind.,60,74666,0.1,OTHERS,12
Ambala City,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S075.htm,Nirmal Singh Mohra,Indian National Congress,INC,62507,126705,49.3,INDIA,1
Ambala City,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S075.htm,Aseem Goel Naneola,Bharatiya Janata Party,BJP,57956,126705,45.7,NDA,2
Ambala City,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S075.htm,Parul Nagpal Udaipuria,Aazad Samaj Party (Kanshi Ram),ASP(KR),1939,126705,1.5,OTHERS,3
Ambala City,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S075.htm,Ketan Sharma,Aam Aadmi Party,AAP,1197,126705,0.9,INDIA,4
Ambala City,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S075.htm,Nota,None of the Above,NA,1191,126705,0.9,OTHERS,5
Ambala City,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S075.htm,Malkit Singh Bhanokheri,Bahujan Samaj Party,BSP,862,126705,0.7,OTHERS,6
Ambala City,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S075.htm,Satnam Singh,Independent,Ind.,471,126705,0.4,OTHERS,7
Ambala City,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S075.htm,Bhupinder,Independent,Ind.,154,126705,0.1,OTHERS,8
Ambala City,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S075.htm,Mayur Nanda,Independent,Ind.,126,126705,0.1,OTHERS,9
Ambala City,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S075.htm,Sunil Dutt,Independent,Ind.,114,126705,0.1,OTHERS,10
Ambala City,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S075.htm,Sachin Kumar,Independent,Ind.,99,126705,0.1,OTHERS,11
Ambala City,hr,https://results.eci.gov.in/AcResultGenOct2024/candidateswise-S075.htm,Lalit Walia,Independent,Ind.,89,126705,0.1,OTHERS,12
