playlist_id,playlist_name,source,snapshot_id,last_seen
5359l8Co8qztllR0Mxk4Zv,New Music Discovery,Line Of Best Fit,AAAclBVo/PuauHzkAtbVXa/LKN2SD5at,2026-06-27
3ofSbd8nqlIs5E0QxPudLC,Essential New Tracks,DIY,AAAuRTRVgkB3xZWGQ5oRs/KU5Wbf78tM,2026-06-27
4NzWle6sDBwHLQ1tuqLKhp,Best New Tracks,NME,AAAr3+ttUVkQrRAMN8QeFVLxyeXQasHi,2026-06-27
1IUuA19O41wAJS4GbBUmGm,The Cut,Dork,AAAL8wgW1eohUkbER3RHvOVEtgKxTQNZ,2026-06-27
4z2ebTTKukc34eMDlqrnW4,Songs You Need To Know,Rolling Stone,AAAeW42Ulj2j3DVRwZAY6Mb+bZTkMxZJ,2026-06-27
7f9o34JAe8ZSRq4GX7f0Ol,Pitchfork Selects,Pitchfork,AAATY1/f7xn2M4BDdy273SlNAM8AOK+Z,2026-06-27
4CFWNPfP7YKjDQOC2P7Ufr,Favourite New Music,Stereogum,AAASLnPJKbWKV1dzMEH/3VrhL/BNG+Jc,2026-06-27
52mIszYugLHD7Xy94rCfVC,Popmatters Picks,Popmatters,AAAh5dwBiI8DoY/ydKpLFAHsu+4QRI9Y,2026-06-27
5NJ8NiOnW7gSSsAQQs7I5n,5 Songs to hear this week,KCRW,AAABN1e6rWmuRbHfMwCzw9rAkcX8JddE,2026-06-27
7g6J6vrx7ok5I0fXkyLt6y,Todays Dance Anthems,BBC Radio 1,AAAABhN+/yJNOr427zVdW5QRcGSWIEG+,2026-06-27
5DjFGSMemnQlto1iopbULA,Folk Show W/ Mark Radcliffe,BBC Radio 2,AAABD9RV/RLuu+9q4WU3XABHNhrWavnr,2026-06-27
197QzBV7LFn6o4rFbUe1kJ,Music Planet,BBC Radio 3,AAAA/fS9UFaqG6orSNSV62xCkpk1DGk1,2026-06-27
2rjHoY4rckW70ChgsK1JUc,Radio 1 rock show w/ Daniel Carter,BBC Radio 1,AAAA3KOV8KcBrIm3iCVDZr0L76xO8qCV,2026-06-27
4OIVU71yO7SzyGrh0ils2i,Official UK Top 40,Official charts,AAA95S1ZxqUO3uwxUvlsBydeXQSdlo82,2026-06-27
58pjPUoBTA1hjnS241Q2Tx,"A, B, C Playlists For The Week Combined",BBC Radio 1,AAA7+FiXiHNWU79iHMGnxzlYDXHcxk8b,2026-06-27
4sOoJdciQNwcJSj0cgJ6DY,"A, B, C Playlists For The Week Combined",BBC Radio 2,AAAAJoQYSezNBek2gRBYt6mlDmytIoEH,2026-06-27
32uSQvONpNRWU2bPxHkjhj,New Music Fix Playlist,BBC Radio 6,AAABA73AC8XRc1zu/TojirBxeRbiX0r+,2026-06-27
38r71X149OqzSR7uR1HMv6,Bob Boilen / Host All Things Considered,NPR,AAAJ+6DcDx9VOIy5uAeV355zc3/xpl7w,2026-06-27
7ro9wf8vuSLGxStaC8t8Rv,All Songs Considered,NPR,AAAHiV546kE5l8JYJWJE88rwuR2nM2sv,2026-06-27
1U6b1BIkvU3ngVIpRxLEuo,Wo Pop w/ Derek Mazzone,KEXP,AAAhfZgPFOyy5F44Vv1BUl4IZk/gUUnN,2026-06-27
39s1hlg987JGqOeXkmuUUn,Metropolis,KCRW,AAAC0sjFnrNV9A/fLMc0kyBhI/iUYLTt,2026-06-27
1GsNoC9Xdjz9Z7rop7b5xR,Next Hype: Best New Music,Dummy magazine,AAA0ps3GcRQ31XQB/DYZlrbbMbtVjOxe,2026-06-27
2hh8x1bPsgPpxwhIV0muAn,Gilles Peterson Show,BBC Radio 6,AAAAq0uDy0u5qP6z94TH/BzcIZ9Aw427,2026-06-27
3OFAXHgkjxsJ1tGBBzKWCt,The Morning After Mix,BBC Radio 6,AAABCP2AzTF+N7A92stzyIPlSwAkB2XG,2026-06-27
4x1Qroq1N7F4mwsfKC2oPJ,Chillest Show,BBC Radio 1,AAAAs9Ym5JI48ETyJ+rQQ2wTppZIHJwk,2026-06-27
65xSncKQzG6Suseh5gfYP1,Pigeons and Planes,Complex,AABCQp03vhbBU3Z2/XTgidV0AR6OBUgz,2026-06-27
5GCassyKKCe7NOAzJL2Yh8,⌘R The Best New Music,Crack,AAA9ijUybBNY5UOOjCVYiF3e35nWhFcg,2026-06-27
7ietOamKTD6b0KDgVMO3yH,"A, B and C lists For The Week Combined",BBC Radio 6,AAAABzv54OEDc4y8oG8R3VaaZCpAMQvM,2026-06-27
4x0aFd4Sg8d23xoUfyIw7v,Song Of The Day,The Current,AAAATH8PpMacibW0Aqq9Tkqz5E8lapTM,2026-06-27
4hnFH5DBSCdnmV8lfDBo3F,KCRW Today's Top Tune,KCRW,AAAAOdFwWuUy+063pqf4AgAJzkkXQbRs,2026-06-27
1fORicyVhjaEKMTZ4GIbZL,KUTX Song of the Day,KUTX,AAAAKPWYln3MkCSOpkHbhp6UXE/sCfCR,2026-06-27
1SKmnWVszdBF9zEzxjMap7,Record of The Day,Record of The Day,AAAAT4RJmWtJmQBDXNkkNu7ur/11Jl1Q,2026-06-27
191fi0LzycWlirCnGo8fAE,RadioX Playlist (Daytime + X-posure),RadioX,AAAAR0+qObUt2Gvxd6zidz20/Bzxiv94,2026-06-27
60VayqPuLXaftoj2Wrqpti,KEXP New This Week,KEXP,AAABU8nTI1Jyc+J5EFnjN9deBYGlPwF4,2026-06-27
48kgn15Mrg6XC859pVtZj5,Add To Playlist,Guardian,AAACIXlHk8PTVoTZlDGIPipLA5fTMk85,2026-06-27
07ylMaHco2i3MPaQDxDiff,The Only Tracks You Need To Hear This Month,Dazed,AAAIInLtnse7H8m8nHu0fgwAcil3xels,2026-06-27
3hg5HCEvit4oqMDuBuHh4C,XPN Best New Music,WXPN,AAAPiYOtj9yIT1vuRtVWAzXjmykA1GiI,2026-06-27
0IWgt0h2ZxDNV4iVMQaELL,Songs You Need In Your Life,Fader,AAAfIrXA6GWPmLP4XSh8D9ytNi2dm0cW,2026-06-27
4LCHtqrBZl4Wmy0Bgi3TTY,BRAND NEW,The Forty-Five,AAANMQ40N5Nn02Cv2iPoCwd0knJ0wfEa,2026-06-27
1b70c2xrXDPHicffGo2eJQ,Next Wave,Clash Music,AAArDsg9EWXKybVpj33/yDhDGLsVBwtE,2026-06-27
